stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
1001,1001,Intermodal,,42.85952,-2.68017,1,,0,,Europe/Madrid,0,,
1002,1002,Juan de Garay / Paraguay,,42.860359,-2.677363,1,,0,,Europe/Madrid,0,,
1003,1003,Zaramaga / Reyes Navarra,,42.861229,-2.67,1,,0,,Europe/Madrid,0,,
1006,1006,Portal Legutiano /Iparralde,,42.854958,-2.666627,1,,0,,Europe/Madrid,0,,
1007,1007,Valladolid 10,,42.853359,-2.66416,1,,0,,Europe/Madrid,0,,
1008,1008,Judimendi / San José,,42.849995,-2.661304,1,,0,,Europe/Madrid,0,,
1009,1009,Av. Santiago 43,,42.847656,-2.661766,1,,0,,Europe/Madrid,0,,
1010,1010,Av. Santiago / Sanidad,,42.847054,-2.666332,1,,0,,Europe/Madrid,0,,
1011,1011,Paz,,42.844425,-2.668424,1,,0,,Europe/Madrid,0,,
1012,1012,Catedral,,42.844677,-2.677132,1,,0,,Europe/Madrid,0,,
1014,1014,Teodoro Dublang 49,,42.843185,-2.684404,1,,0,,Europe/Madrid,0,,
1015,1015,Teodoro Dublang / Bustinzuri,,42.843971,-2.68778,1,,0,,Europe/Madrid,0,,
1016,1016,Adriano VI / Bustinzuri,,42.848717,-2.686201,1,,0,,Europe/Madrid,0,,
1017,1017,Av.Gasteiz / Bastiturri,,42.847809,-2.681558,1,,0,,Europe/Madrid,0,,
1018,1018,Av.Gasteiz 54,,42.85046,-2.680785,1,,0,,Europe/Madrid,0,,
1019,1019,Europa,,42.852112,-2.680455,1,,0,,Europe/Madrid,0,,
1020,1020,Av.Gasteiz 86,,42.854767,-2.679928,1,,0,,Europe/Madrid,0,,
1021,1021,Honduras,,42.857418,-2.680851,1,,0,,Europe/Madrid,0,,
1022,1022,Intermodal,,42.859661,-2.68227,1,,0,,Europe/Madrid,0,,
1023,1023,Honduras,,42.857319,-2.68105,1,,0,,Europe/Madrid,0,,
1024,1024,Av.Gasteiz 93,,42.854404,-2.680108,1,,0,,Europe/Madrid,0,,
1025,1025,Europa,,42.852489,-2.680517,1,,0,,Europe/Madrid,0,,
1026,1026,Av.Gasteiz 73,,42.850574,-2.680936,1,,0,,Europe/Madrid,0,,
1027,1027,Av.Gasteiz 45,,42.847542,-2.68181,1,,0,,Europe/Madrid,0,,
1028,1028,Av.Gasteiz 19,,42.844521,-2.682503,1,,0,,Europe/Madrid,0,,
1029,1029,Portal Lasarte,,42.838375,-2.683828,1,,0,,Europe/Madrid,0,,
1030,1030,Salbatierrabide,,42.837563,-2.680076,1,,0,,Europe/Madrid,0,,
1031,1031,Nieves Cano / Unibersitatea,,42.838558,-2.67252,1,,0,,Europe/Madrid,0,,
1032,1032,Nieves Cano / Comandante Izarduy,,42.838482,-2.669024,1,,0,,Europe/Madrid,0,,
1033,1033,Castro Urdiales,,42.83894,-2.66575,1,,0,,Europe/Madrid,0,,
1034,1034,Los Herrán 4,,42.842529,-2.664236,1,,0,,Europe/Madrid,0,,
1035,1035,Los Herrán 36,,42.845363999999996,-2.665148,1,,0,,Europe/Madrid,0,,
1036,1036,Los Herrán / Logroño,,42.849411,-2.66615,1,,0,,Europe/Madrid,0,,
1037,1037,Los Herrán 86,,42.852489,-2.66678,1,,0,,Europe/Madrid,0,,
1038,1038,Plaza Zuberoa,,42.854496,-2.668132,1,,0,,Europe/Madrid,0,,
1039,1039,Reyes Católicos 1,,42.855309,-2.673,1,,0,,Europe/Madrid,0,,
1040,1040,Portal Arriaga / Venezuela,,42.859425,-2.674048,1,,0,,Europe/Madrid,0,,
1041,1041,Juan de Garay / Arriaga,,42.860229,-2.6786,1,,0,,Europe/Madrid,0,,
1042,1042,Zaramaga/ Boulevard,,42.86092,-2.66849,1,,0,,Europe/Madrid,0,,
1043,1043,Zaramaga / Portal Gamarra,,42.859035,-2.662364,1,,0,,Europe/Madrid,0,,
1044,1044,Madrid 36,,42.856743,-2.659469,1,,0,,Europe/Madrid,0,,
1045,1045,Madrid / Andalucía,,42.854809,-2.657449,1,,0,,Europe/Madrid,0,,
1046,1046,Madrid / Valladolid,,42.85297,-2.657637,1,,0,,Europe/Madrid,0,,
1047,1047,Aragón,,42.849171,-2.65782,1,,0,,Europe/Madrid,0,,
1048,1048,Jacinto Benavente 7,,42.845627,-2.658052,1,,0,,Europe/Madrid,0,,
1049,1049,Jacinto Benavente / Florida,,42.841911,-2.658582,1,,0,,Europe/Madrid,0,,
1050,1050,Esmaltaciones,,42.835686,-2.659825,1,,0,,Europe/Madrid,0,,
1051,1051,Zumaquera,,42.835793,-2.664939,1,,0,,Europe/Madrid,0,,
1052,1052,Hegoalde,,42.836197,-2.668296,1,,0,,Europe/Madrid,0,,
1053,1053,Unibertsitatea,,42.836685,-2.672782,1,,0,,Europe/Madrid,0,,
1054,1054,Salbatierrabide,,42.837578,-2.680159,1,,0,,Europe/Madrid,0,,
1055,1055,Mendizorrotza,,42.838486,-2.687401,1,,0,,Europe/Madrid,0,,
1056,1056,Castillo Fontecha / Castilla,,42.84053,-2.691164,1,,0,,Europe/Madrid,0,,
1057,1057,Castillo Fontecha / Ocio,,42.841679,-2.69173,1,,0,,Europe/Madrid,0,,
1058,1058,Castillo Fontecha / Aretxaga,,42.843307,-2.692161,1,,0,,Europe/Madrid,0,,
1059,1059,Pedro Asúa 12,,42.847534,-2.690653,1,,0,,Europe/Madrid,0,,
1061,1061,Mexico / Residencia,,42.853161,-2.68736,1,,0,,Europe/Madrid,0,,
1062,1062,Jose Atxotegi 22,,42.855869,-2.68857,1,,0,,Europe/Madrid,0,,
1063,1063,Euskal Herria,,42.858059,-2.68526,1,,0,,Europe/Madrid,0,,
1064,1064,Zaramaga/ Boulevard,,42.861328,-2.668923,1,,0,,Europe/Madrid,0,,
1065,1065,Euskal Herria,,42.858814,-2.683875,1,,0,,Europe/Madrid,0,,
1066,1066,Txagorritxu,,42.856548,-2.690813,1,,0,,Europe/Madrid,0,,
1067,1067,Jose Atxotegi / Txagorritxu,,42.855446,-2.68828,1,,0,,Europe/Madrid,0,,
1068,1068,Mexico / Residencia,,42.853336,-2.687455,1,,0,,Europe/Madrid,0,,
1069,1069,Seminario,,42.851372,-2.688895,1,,0,,Europe/Madrid,0,,
1070,1070,Pedro Asúa 12,,42.847584,-2.690679,1,,0,,Europe/Madrid,0,,
1071,1071,Castillo Fontecha / Aretxaga,,42.843304,-2.692088,1,,0,,Europe/Madrid,0,,
1073,1073,Castillo Fontecha / Castilla,,42.840614,-2.691274,1,,0,,Europe/Madrid,0,,
1074,1074,Mendizorrotza,,42.838253,-2.686157,1,,0,,Europe/Madrid,0,,
