table_name,field_name,language,translation,record_id
stops,stop_name,eu,Hilerria,1306
stops,stop_name,es,Cementerio,1306
stops,stop_name,eu,Gasteiz hiribidea,1020
stops,stop_name,es,Av. Gasteiz 86,1020
stops,stop_name,eu,Arriurdina / Jundiz,1209
stops,stop_name,es,Arriurdina / Júndiz,1209
stops,stop_name,eu,Iliada / Nadine Gordimer,1341
stops,stop_name,es,Iliada / Nadine Gordimer,1341
stops,stop_name,eu,Madril,1044
stops,stop_name,es,Madrid 36,1044
stops,stop_name,eu,Gaztelako atea / Prado,1153
stops,stop_name,es,Castilla / Prado,1153
stops,stop_name,eu,Salburua bulebarra / Atenas,1337
stops,stop_name,es,Bulevar Salburua / Paseo de Atenas,1337
stops,stop_name,eu,Iruña Veleia / Sofia Erregina,1381
stops,stop_name,es,Iruña Veleia / Reina Sofía,1381
stops,stop_name,eu,Valladolid,1007
stops,stop_name,es,Valladolid 10,1007
stops,stop_name,eu,Paula Montal / Etxe Gorriak,1320
stops,stop_name,es,Paula Montal / Casas Rojas,1320
stops,stop_name,eu,Nazio batuak / Salvador Dali,1323
stops,stop_name,es,Naciones Unidas / Salvador Dalí,1323
stops,stop_name,eu,Kainabenta,1267
stops,stop_name,es,Venta la caña,1267
stops,stop_name,eu,Nieves Cano / Unibertsitatea,1031
stops,stop_name,es,Nieves Cano / Unibersitatea,1031
stops,stop_name,eu,Gaztelako atea / Etxezarra,1139
stops,stop_name,es,Castilla / Etxezarra,1139
stops,stop_name,eu,Giza Eskubideak / Eskibel ibilbidea,1241
stops,stop_name,es,Derechos Humanos / Paseo Eskibel,1241
stops,stop_name,eu,Katedrala,1012
stops,stop_name,es,Catedral,1012
stops,stop_name,eu,Gamarrako atea,1118
stops,stop_name,es,Portal Gamarra 3,1118
stops,stop_name,eu,Jundiz / Paduleta,1208
stops,stop_name,es,Jundiz / Paduleta,1208
stops,stop_name,eu,Nieves Cano / Izardui Komandantea,1032
stops,stop_name,es,Nieves Cano / Comandante Izarduy,1032
stops,stop_name,eu,Legutianoko atea,1104
stops,stop_name,es,Portal Legutiano 50,1104
stops,stop_name,eu,Iruña Veleia / Sofia Erregina,1383
stops,stop_name,es,Iruña Veleia / Reina Sofía,1383
stops,stop_name,eu,Lermandabidea / Zuazobidea,1221
stops,stop_name,es,Lermandabidea / Zuazobidea,1221
stops,stop_name,eu,Aretxabaleta,1121
stops,stop_name,es,Aretxabaleta,1121
stops,stop_name,eu,Judimendi / San Jose,1008
stops,stop_name,es,Judimendi / San José,1008
stops,stop_name,eu,Done Jakue hiribidea,1009
stops,stop_name,es,Av. Santiago 43,1009
stops,stop_name,eu,Dura (herria),1086
stops,stop_name,es,Durana Pueblo,1086
stops,stop_name,eu,Alibarra / Handizkariak,1191
stops,stop_name,es,Alibarra / Mayoristas,1191
stops,stop_name,eu,Tomas Zumarraga Dohatsua,1393
stops,stop_name,es,Bº Tomás Zumarraga 98,1393
stops,stop_name,eu,Apaizgaitegia,1069
stops,stop_name,es,Seminario,1069
stops,stop_name,eu,Forondako atea,1131
stops,stop_name,es,Portal Foronda 35,1131
stops,stop_name,eu,Paula Montal / Etxe Gorriak,1321
stops,stop_name,es,Paula Montal / Casas Rojas,1321
stops,stop_name,eu,Jesus Guridi,1260
stops,stop_name,es,Jesús Guridi,1260
stops,stop_name,eu,Alibarra / Gobeu,1189
stops,stop_name,es,Alibarra / Gobeo,1189
stops,stop_name,eu,Buesa Arena,1110
stops,stop_name,es,Buesa Arena,1110
stops,stop_name,eu,Gaztelako atea,1150
stops,stop_name,es,Castilla 107,1150
stops,stop_name,eu,Oto hiribidea / Borinbizkarra,1174
stops,stop_name,es,Av. Los Huetos / Borinbizkarra,1174
stops,stop_name,eu,Armentia / Basilika,1148
stops,stop_name,es,Armentia / Basílica,1148
stops,stop_name,eu,Oto hiribidea / Mercedes,1195
stops,stop_name,es,Av. Los Huetos / Mercedes,1195
stops,stop_name,eu,Lermandabidea / Lotura-autobusa,1214
stops,stop_name,es,Lermandabidea / Lanzadera,1214
stops,stop_name,eu,Nazio Batuak,1239
stops,stop_name,es,Naciones Unidas 1,1239
